p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),OT
1001.52,10.25,283.28,8.55,89.2,12.5,11.15,1.35,6.95,426.1
1001.53,10.21,283.24,8.66,90.1,12.47,11.23,1.23,7.01,427.6
1001.48,10.15,283.18,8.69,90.6,12.42,11.25,1.17,7.02,428.4
1001.46,10.13,283.16,8.7,90.8,12.4,11.26,1.14,7.02,428.4
1001.44,10.2,283.23,8.7,90.4,12.46,11.26,1.2,7.03,428.2
1001.41,10.2,283.24,8.65,90.1,12.46,11.23,1.23,7.0,428.2
1001.41,10.19,283.23,8.64,90.1,12.45,11.22,1.23,7.0,428.4
1001.48,10.15,283.18,8.62,90.2,12.42,11.2,1.22,6.99,428.1
1001.56,10.14,283.16,8.58,90.0,12.41,11.17,1.24,6.97,427.8
1001.53,10.15,283.18,8.54,89.7,12.42,11.14,1.28,6.95,427.8
1001.62,10.14,283.16,8.43,89.1,12.41,11.06,1.35,6.9,427.8
1001.64,10.16,283.18,8.43,89.0,12.43,11.06,1.37,6.9,427.9
1001.66,10.22,283.24,8.48,88.9,12.48,11.09,1.38,6.92,427.8
1001.73,10.29,283.3,8.48,88.5,12.54,11.09,1.44,6.92,427.6
1001.78,10.36,283.37,8.46,88.0,12.59,11.08,1.51,6.91,427.5
1001.68,10.35,283.36,8.49,88.2,12.59,11.1,1.49,6.92,427.4
1001.61,10.35,283.37,8.5,88.3,12.59,11.11,1.47,6.93,426.8
1001.63,10.4,283.42,8.5,88.0,12.63,11.11,1.52,6.93,426.0
1001.65,10.5,283.52,8.48,87.3,12.71,11.1,1.61,6.92,425.4
1001.67,10.61,283.62,8.49,86.7,12.81,11.1,1.7,6.92,425.1
1001.66,10.71,283.73,8.5,86.2,12.89,11.11,1.78,6.93,424.9
1001.68,10.99,284.0,8.62,85.3,13.13,11.2,1.93,6.99,424.7
1001.64,10.97,283.99,8.76,86.2,13.12,11.31,1.81,7.05,424.3
1001.67,10.81,283.82,8.79,87.3,12.98,11.33,1.65,7.07,423.7
1001.62,10.86,283.88,8.84,87.3,13.02,11.37,1.65,7.09,423.0
1001.56,10.96,283.98,8.94,87.3,13.11,11.44,1.66,7.14,422.5
1001.57,11.1,284.12,9.04,87.1,13.23,11.52,1.71,7.19,421.8
1001.61,11.2,284.22,9.09,86.8,13.32,11.56,1.76,7.21,421.6
1001.61,11.51,284.53,9.19,85.6,13.6,11.64,1.96,7.26,420.6
1001.73,12.04,285.05,9.21,82.8,14.08,11.66,2.42,7.27,419.9
1001.78,12.1,285.1,9.22,82.5,14.14,11.66,2.47,7.27,419.5
1001.85,12.13,285.13,9.25,82.5,14.16,11.69,2.48,7.29,419.4
1001.9,11.75,284.75,9.21,84.4,13.81,11.66,2.15,7.27,420.3
1001.84,11.83,284.83,9.48,85.5,13.89,11.87,2.01,7.4,420.0
1001.79,13.01,286.01,10.0,81.9,15.01,12.29,2.72,7.67,418.4
1001.75,13.52,286.53,9.82,78.3,15.52,12.15,3.37,7.58,417.4
1001.77,14.02,287.02,9.14,72.4,16.03,11.61,4.42,7.24,415.8
1001.72,14.16,287.17,8.71,69.66,16.18,11.27,4.91,7.03,413.8
1001.77,14.33,287.33,8.7,68.88,16.35,11.27,5.09,7.02,412.7
1001.77,14.77,287.77,8.81,67.41,16.83,11.34,5.48,7.07,411.7
1001.73,14.95,287.96,8.2,63.96,17.02,10.89,6.14,6.79,411.4
1001.8,14.89,287.89,7.52,61.29,16.96,10.39,6.56,6.48,411.4
1001.77,14.38,287.38,7.54,63.4,16.41,10.4,6.01,6.48,410.2
1001.76,15.02,288.03,7.17,59.33,17.1,10.15,6.95,6.32,410.3
1001.92,14.81,287.8,7.17,60.12,16.87,10.14,6.73,6.32,411.3
1001.97,14.02,287.01,7.17,63.3,16.03,10.15,5.88,6.32,411.8
1001.94,14.04,287.03,7.14,63.08,16.05,10.12,5.93,6.31,411.0
1001.87,14.29,287.29,7.34,62.91,16.31,10.26,6.05,6.4,410.1
1001.8,14.48,287.48,6.92,60.38,16.51,9.97,6.54,6.21,410.4
1001.82,14.54,287.54,6.41,58.07,16.58,9.63,6.95,6.0,411.0
1001.92,14.77,287.76,6.56,57.83,16.83,9.73,7.1,6.06,410.1
1002.04,14.68,287.66,6.67,58.6,16.73,9.8,6.93,6.11,410.4
1002.14,14.13,287.1,7.25,63.2,16.14,10.2,5.94,6.36,411.2
1002.17,14.02,286.99,7.43,64.45,16.03,10.33,5.7,6.44,411.5
1002.25,14.12,287.09,7.38,63.81,16.13,10.29,5.84,6.41,410.8
1002.26,14.31,287.27,7.42,63.19,16.33,10.32,6.01,6.43,410.5
1002.46,13.47,286.42,7.21,65.76,15.47,10.17,5.3,6.33,410.7
1002.52,13.75,286.69,7.25,64.75,15.75,10.2,5.55,6.35,410.3
1002.51,14.04,286.98,6.7,61.19,16.05,9.82,6.23,6.12,411.1
1002.59,13.8,286.74,6.82,62.67,15.8,9.9,5.9,6.17,410.3
1002.58,13.99,286.93,6.75,61.6,16.0,9.85,6.14,6.14,409.9
1002.58,14.05,286.99,6.6,60.73,16.06,9.75,6.31,6.07,410.1
1002.73,13.74,286.67,6.45,61.33,15.74,9.65,6.09,6.01,410.5
1002.79,13.86,286.78,6.68,61.83,15.86,9.81,6.06,6.11,409.7
1002.76,14.01,286.93,6.56,60.72,16.02,9.73,6.29,6.06,409.6
1002.93,13.5,286.41,6.44,62.25,15.5,9.65,5.85,6.0,410.0
1002.99,13.75,286.66,6.78,62.69,15.75,9.87,5.88,6.15,408.7
1002.92,14.19,287.1,6.77,60.89,16.21,9.87,6.34,6.14,408.7
1003.07,14.03,286.93,6.83,61.81,16.04,9.91,6.13,6.17,408.7
1003.17,14.16,287.05,6.84,61.32,16.18,9.92,6.26,6.17,408.3
1003.12,14.57,287.46,6.76,59.39,16.61,9.87,6.75,6.14,408.1
1003.15,14.54,287.43,6.39,58.0,16.58,9.62,6.96,5.98,408.4
1003.2,14.47,287.36,6.58,59.02,16.5,9.74,6.76,6.06,408.3
1003.24,14.6,287.48,6.68,58.93,16.64,9.81,6.84,6.1,408.1
1003.26,14.69,287.57,6.45,57.66,16.74,9.65,7.09,6.01,407.9
1003.29,14.38,287.26,6.06,57.26,16.41,9.4,7.01,5.85,408.3
1003.3,14.33,287.21,6.19,57.98,16.35,9.48,6.87,5.9,408.1
1003.31,14.27,287.15,6.2,58.24,16.29,9.49,6.8,5.9,408.1
1003.37,14.56,287.43,6.32,57.62,16.6,9.57,7.04,5.95,407.8
1003.42,14.09,286.96,6.1,58.51,16.1,9.42,6.68,5.86,408.5
1003.48,13.87,286.74,6.09,59.31,15.87,9.41,6.46,5.86,408.2
1003.55,13.82,286.68,6.15,59.76,15.82,9.46,6.37,5.88,408.3
1003.66,13.76,286.61,6.12,59.86,15.76,9.43,6.33,5.87,408.6
1003.69,13.81,286.66,6.11,59.65,15.81,9.43,6.38,5.87,408.5
1003.73,13.82,286.66,6.25,60.18,15.82,9.52,6.3,5.92,408.1
1003.84,13.74,286.58,6.35,60.93,15.74,9.59,6.15,5.96,408.2
1003.96,13.72,286.55,6.39,61.15,15.72,9.61,6.11,5.98,408.6
1003.97,13.64,286.47,6.3,61.09,15.64,9.55,6.08,5.94,408.6
1003.95,13.67,286.5,6.29,60.95,15.67,9.55,6.12,5.94,408.3
1004.03,13.58,286.4,6.26,61.15,15.58,9.53,6.05,5.92,408.4
1004.09,13.53,286.35,6.23,61.25,15.53,9.51,6.02,5.91,409.1
1004.14,13.54,286.35,6.15,60.85,15.54,9.45,6.08,5.88,409.6
1004.27,13.5,286.3,6.21,61.28,15.5,9.5,6.0,5.9,409.7
1004.38,13.27,286.06,6.24,62.35,15.27,9.52,5.75,5.92,410.3
1004.42,13.11,285.9,6.18,62.74,15.11,9.48,5.63,5.89,410.4
1004.48,13.07,285.85,5.97,61.98,15.07,9.34,5.73,5.8,410.9
1004.56,13.0,285.78,5.88,61.87,15.0,9.28,5.72,5.77,411.0
1004.65,13.04,285.81,6.07,62.53,15.04,9.4,5.63,5.84,411.0
1004.73,13.01,285.77,6.14,62.98,15.01,9.45,5.56,5.87,411.0
1004.76,12.99,285.75,6.1,62.88,14.99,9.42,5.56,5.86,411.5
1004.79,12.95,285.71,6.1,63.02,14.95,9.42,5.53,5.85,411.6
1004.84,12.78,285.54,6.06,63.57,14.78,9.4,5.39,5.84,411.6
1004.87,12.56,285.31,6.08,64.56,14.57,9.41,5.16,5.84,411.6
1004.99,12.32,285.06,6.12,65.79,14.34,9.44,4.91,5.86,411.9
1005.12,12.11,284.84,6.12,66.71,14.15,9.44,4.71,5.86,412.1
1005.3,11.85,284.57,6.09,67.72,13.91,9.42,4.49,5.85,412.5
1005.42,11.68,284.39,6.04,68.23,13.75,9.38,4.37,5.82,412.4
1005.51,11.43,284.13,6.07,69.53,13.52,9.4,4.12,5.84,413.1
1005.7,11.22,283.91,6.07,70.5,13.34,9.4,3.93,5.84,413.1
1005.85,10.99,283.67,6.05,71.5,13.13,9.39,3.74,5.83,413.5
1005.94,10.83,283.5,6.0,72.0,13.0,9.36,3.64,5.81,414.4
1006.02,10.72,283.38,5.95,72.3,12.9,9.33,3.57,5.79,414.4
1006.07,10.58,283.24,5.9,72.7,12.78,9.29,3.49,5.76,416.1
1006.12,10.53,283.19,5.89,72.9,12.74,9.29,3.45,5.76,416.1
1006.16,10.65,283.3,6.06,73.2,12.84,9.4,3.44,5.83,418.4
1006.23,10.73,283.38,5.96,72.3,12.91,9.33,3.58,5.79,418.6
1006.32,10.67,283.31,5.96,72.6,12.86,9.33,3.52,5.79,419.3
1006.31,10.66,283.3,6.01,72.9,12.85,9.37,3.48,5.81,418.9
1006.37,10.68,283.32,5.93,72.4,12.87,9.32,3.55,5.78,418.3
1006.43,10.78,283.41,5.87,71.6,12.95,9.27,3.68,5.75,417.5
1006.5,10.79,283.41,5.84,71.4,12.96,9.25,3.71,5.74,417.5
1006.52,10.79,283.41,5.82,71.3,12.96,9.24,3.72,5.73,417.6
1006.53,10.79,283.41,5.84,71.4,12.96,9.25,3.71,5.74,418.8
1006.56,10.73,283.35,5.78,71.4,12.91,9.22,3.69,5.72,418.9
1006.73,10.65,283.26,5.78,71.8,12.84,9.22,3.62,5.72,419.5
1006.75,10.56,283.16,5.82,72.4,12.76,9.24,3.52,5.73,420.2
1006.71,10.43,283.04,5.87,73.3,12.65,9.27,3.38,5.75,421.2
1006.71,10.34,282.95,5.94,74.1,12.58,9.32,3.26,5.78,421.4
1006.68,10.28,282.89,5.96,74.5,12.53,9.33,3.19,5.79,422.0
1006.62,10.13,282.75,5.93,75.1,12.4,9.31,3.09,5.78,422.3
1006.62,10.0,282.62,5.88,75.5,12.29,9.28,3.01,5.76,422.8
1006.61,9.8,282.42,5.86,76.4,12.13,9.27,2.86,5.75,424.3
1006.62,9.58,282.2,5.85,77.5,11.95,9.26,2.69,5.74,426.2
1006.59,9.3,281.92,5.82,78.8,11.73,9.24,2.49,5.73,427.0
1006.55,9.44,282.06,5.81,78.0,11.84,9.23,2.6,5.73,423.9
1006.52,9.64,282.26,5.84,77.1,12.0,9.25,2.75,5.74,423.7
1006.51,9.66,282.29,5.89,77.3,12.02,9.29,2.73,5.76,427.4
1006.49,9.24,281.87,5.96,79.9,11.68,9.33,2.35,5.79,433.9
1006.5,8.99,281.62,6.13,82.2,11.49,9.44,2.04,5.86,441.2
1006.49,8.83,281.46,6.06,82.7,11.36,9.4,1.97,5.83,436.9
1006.48,8.91,281.54,6.01,82.0,11.42,9.37,2.06,5.81,437.4
1006.52,8.61,281.24,5.96,83.4,11.19,9.34,1.86,5.79,443.1
1006.59,8.41,281.03,5.84,83.8,11.04,9.25,1.79,5.74,442.5
1006.63,8.31,280.93,5.81,84.2,10.97,9.23,1.73,5.73,445.0
1006.62,8.26,280.88,5.86,84.8,10.93,9.27,1.66,5.75,444.6
1006.68,8.39,281.0,5.9,84.3,11.03,9.3,1.73,5.76,444.4
1006.72,8.41,281.02,5.99,84.7,11.04,9.35,1.69,5.8,446.0
1006.74,8.38,280.99,6.06,85.3,11.02,9.4,1.62,5.83,451.3
1006.72,8.27,280.88,6.12,86.3,10.94,9.44,1.5,5.85,455.5
1006.76,8.31,280.92,6.13,86.1,10.97,9.44,1.52,5.85,451.3
1006.76,8.33,280.94,6.08,85.7,10.98,9.41,1.57,5.84,451.8
1006.78,8.34,280.95,6.11,85.8,10.99,9.43,1.56,5.85,453.9
1006.78,8.34,280.95,6.29,86.9,10.99,9.55,1.44,5.92,460.1
1006.88,8.42,281.02,6.3,86.5,11.05,9.56,1.49,5.93,458.3
1006.97,8.38,280.97,6.2,86.1,11.02,9.49,1.53,5.88,457.0
1007.05,8.49,281.07,6.36,86.4,11.1,9.59,1.51,5.95,457.5
1007.17,8.65,281.22,6.43,85.9,11.22,9.64,1.58,5.98,459.8
1007.26,8.68,281.25,6.43,85.7,11.25,9.64,1.61,5.97,461.9
1007.36,8.57,281.13,6.3,85.6,11.16,9.56,1.61,5.92,462.2
1007.45,8.38,280.93,6.13,85.7,11.02,9.44,1.58,5.85,458.2
1007.47,8.53,281.08,6.3,85.8,11.13,9.55,1.58,5.92,460.1
1007.48,8.72,281.27,6.4,85.3,11.28,9.62,1.66,5.96,460.3
1007.59,9.02,281.56,6.49,84.1,11.51,9.68,1.83,6.0,459.8
1007.6,9.12,281.66,6.41,83.1,11.59,9.63,1.96,5.97,458.6
1007.61,9.06,281.6,6.47,83.8,11.54,9.67,1.87,5.99,461.5
1007.67,9.07,281.6,6.4,83.3,11.55,9.62,1.93,5.96,458.3
1007.75,9.27,281.8,6.54,83.0,11.7,9.71,1.99,6.02,458.5
1007.81,9.45,281.97,6.58,82.2,11.85,9.74,2.11,6.03,456.1
1007.92,9.58,282.09,6.53,81.2,11.95,9.7,2.25,6.01,451.9
1008.02,9.77,282.27,6.51,80.1,12.11,9.7,2.41,6.01,445.7
1008.07,10.01,282.51,6.49,78.7,12.3,9.68,2.62,6.0,437.9
1008.02,9.96,282.46,6.37,78.3,12.26,9.6,2.66,5.95,429.5
1007.94,9.99,282.5,6.53,79.0,12.29,9.71,2.58,6.01,429.0
1007.94,10.09,282.6,6.68,79.3,12.37,9.81,2.56,6.07,428.3
1008.08,10.28,282.78,6.75,78.7,12.53,9.86,2.67,6.11,427.8
1008.17,10.45,282.94,6.9,78.6,12.67,9.96,2.71,6.17,427.7
1008.21,10.56,283.05,6.86,77.8,12.76,9.93,2.83,6.15,427.4
1008.27,10.64,283.12,7.01,78.2,12.83,10.03,2.8,6.21,423.0
1008.28,10.75,283.23,7.12,78.2,12.93,10.11,2.82,6.26,421.6
1008.34,10.83,283.31,7.14,77.9,13.0,10.12,2.87,6.27,421.9
1008.39,10.96,283.43,7.23,77.7,13.11,10.19,2.92,6.31,421.6
1008.41,11.26,283.73,7.4,77.1,13.37,10.31,3.06,6.38,422.8
1008.45,11.52,283.99,7.56,76.6,13.61,10.42,3.18,6.45,421.3
1008.52,11.34,283.8,7.46,77.0,13.44,10.35,3.09,6.41,420.9
1008.52,11.45,283.91,7.59,77.1,13.54,10.44,3.1,6.46,420.4
1008.54,11.7,284.16,7.74,76.6,13.77,10.55,3.22,6.53,421.0
1008.53,11.65,284.11,7.65,76.4,13.72,10.48,3.24,6.49,419.9
1008.56,11.72,284.18,7.62,75.9,13.79,10.46,3.32,6.48,418.7
1008.58,11.93,284.38,7.75,75.5,13.98,10.55,3.42,6.53,418.1
1008.6,12.06,284.51,7.62,74.2,14.1,10.46,3.64,6.48,417.1
1008.65,12.31,284.76,7.78,73.8,14.33,10.58,3.76,6.55,416.0
1008.7,12.72,285.16,7.73,71.6,14.73,10.54,4.18,6.53,416.3
1008.69,13.33,285.77,7.97,69.95,15.33,10.72,4.61,6.64,415.4
1008.69,13.66,286.1,7.87,67.96,15.66,10.64,5.02,6.59,414.5
1008.62,13.34,285.79,7.62,68.24,15.34,10.46,4.87,6.48,412.0
1008.61,13.44,285.89,7.36,66.57,15.44,10.28,5.16,6.36,412.3
1008.6,13.96,286.41,7.64,65.64,15.97,10.48,5.49,6.49,410.7
1008.65,13.98,286.42,7.57,65.21,15.99,10.43,5.56,6.45,409.3
1008.64,13.68,286.13,7.12,64.5,15.68,10.11,5.57,6.26,409.4
1008.64,13.75,286.2,7.16,64.38,15.75,10.14,5.61,6.28,409.0
1008.64,14.23,286.67,7.35,63.23,16.25,10.27,5.97,6.36,408.0
1008.65,14.2,286.64,7.47,63.84,16.22,10.35,5.86,6.41,407.6
1008.62,14.5,286.94,7.71,63.67,16.54,10.53,6.01,6.52,407.8
1008.51,14.53,286.98,7.43,62.34,16.57,10.33,6.24,6.39,408.7
1008.51,14.55,287.0,7.35,61.92,16.59,10.27,6.32,6.36,407.9
1008.48,14.52,286.98,7.18,61.31,16.56,10.15,6.41,6.28,407.8
1008.45,14.5,286.96,7.06,60.89,16.54,10.07,6.47,6.23,407.9
1008.34,14.93,287.4,7.14,59.56,17.0,10.13,6.88,6.27,407.6
1008.29,15.07,287.54,7.07,58.75,17.16,10.08,7.08,6.24,407.9
1008.23,15.07,287.55,7.17,59.15,17.16,10.15,7.01,6.28,407.1
1008.13,15.6,288.08,7.35,57.86,17.75,10.27,7.48,6.36,406.5
1008.02,16.19,288.68,7.25,55.36,18.43,10.2,8.23,6.32,406.9
1008.01,16.18,288.67,7.52,56.4,18.42,10.39,8.03,6.44,405.8
1007.94,16.18,288.68,7.25,55.38,18.42,10.2,8.22,6.32,406.3
1007.87,16.69,289.19,7.42,54.23,19.03,10.32,8.71,6.39,405.9
1007.9,16.28,288.78,7.3,55.21,18.54,10.24,8.3,6.34,405.8
1007.8,16.56,289.07,6.91,52.81,18.87,9.97,8.91,6.17,406.5
1007.78,16.6,289.11,6.67,51.8,18.92,9.8,9.12,6.07,407.0
1007.72,17.24,289.75,7.12,51.3,19.7,10.11,9.6,6.26,406.2
1007.77,16.31,288.82,7.32,55.17,18.57,10.25,8.33,6.35,405.0
1007.7,16.59,289.11,7.13,53.51,18.91,10.12,8.79,6.27,405.5
1007.66,16.94,289.46,7.2,52.57,19.33,10.16,9.17,6.3,405.4
1007.66,17.13,289.65,7.19,51.91,19.57,10.16,9.41,6.29,405.3
1007.64,17.3,289.82,7.3,51.77,19.78,10.24,9.54,6.35,405.1
1007.61,16.8,289.32,7.21,53.1,19.16,10.18,8.99,6.31,405.1
1007.53,17.36,289.89,7.27,51.46,19.85,10.22,9.64,6.33,405.0
1007.46,17.74,290.27,7.26,50.21,20.34,10.21,10.13,6.33,405.1
1007.44,17.63,290.16,7.22,50.41,20.2,10.18,10.02,6.31,404.8
1007.42,17.96,290.5,7.12,49.03,20.62,10.11,10.51,6.27,405.3
1007.41,17.85,290.39,7.02,49.04,20.48,10.04,10.44,6.22,405.5
1007.37,18.17,290.71,7.23,48.74,20.89,10.18,10.71,6.31,405.0
1007.37,17.94,290.48,7.25,49.55,20.59,10.2,10.39,6.32,404.6
1007.35,18.03,290.57,7.36,49.62,20.71,10.28,10.43,6.37,404.3
1007.29,17.94,290.49,7.44,50.17,20.59,10.33,10.26,6.4,404.1
1007.25,18.06,290.61,7.54,50.16,20.75,10.41,10.34,6.45,404.1
1007.29,18.29,290.84,7.59,49.6,21.05,10.44,10.61,6.47,404.1
1007.31,18.01,290.55,7.42,49.88,20.69,10.32,10.37,6.4,404.6
1007.29,18.2,290.75,7.43,49.35,20.93,10.33,10.6,6.4,404.8
1007.29,18.11,290.66,7.42,49.58,20.82,10.32,10.5,6.4,404.6
1007.29,18.0,290.55,7.46,50.08,20.67,10.35,10.32,6.42,404.7
1007.29,18.16,290.71,7.6,50.03,20.88,10.45,10.43,6.48,404.4
1007.29,18.31,290.86,7.86,50.47,21.08,10.64,10.44,6.6,404.8
1007.29,18.02,290.57,7.56,50.34,20.7,10.42,10.28,6.46,404.8
1007.29,17.28,289.83,7.43,52.28,19.75,10.33,9.43,6.4,404.6
1007.27,16.88,289.43,7.34,53.29,19.26,10.26,9.0,6.36,404.6
1007.27,16.73,289.28,7.32,53.73,19.08,10.25,8.83,6.35,405.0
1007.28,16.61,289.16,7.25,53.89,18.93,10.2,8.73,6.32,405.7
1007.28,16.38,288.93,7.16,54.34,18.66,10.14,8.52,6.28,406.1
1007.29,16.07,288.62,7.03,54.93,18.29,10.05,8.24,6.23,406.1
1007.36,15.88,288.42,6.88,55.03,18.07,9.94,8.13,6.16,406.6
1007.42,15.76,288.3,6.77,55.04,17.93,9.87,8.06,6.12,407.1
1007.52,15.56,288.09,6.75,55.67,17.7,9.86,7.85,6.11,407.2
1007.56,15.43,287.96,6.7,55.96,17.56,9.83,7.73,6.09,407.1
1007.66,15.29,287.81,6.75,56.65,17.4,9.86,7.54,6.11,407.3
1007.66,15.2,287.72,6.75,56.99,17.3,9.86,7.44,6.11,407.3
1007.69,14.91,287.43,7.2,59.87,16.98,10.17,6.81,6.3,413.0
1007.76,14.36,286.88,7.47,63.19,16.39,10.35,6.03,6.42,417.4
1007.78,14.05,286.56,7.48,64.52,16.06,10.36,5.7,6.42,419.7
1007.82,13.8,286.31,7.37,65.08,15.8,10.28,5.52,6.37,417.6
1007.9,13.44,285.95,7.31,66.36,15.44,10.24,5.19,6.35,418.1
1007.92,13.24,285.74,7.25,66.97,15.24,10.2,5.03,6.32,417.9
1007.91,13.14,285.65,7.07,66.56,15.14,10.07,5.06,6.24,416.3
1007.91,12.91,285.42,7.33,68.78,14.91,10.26,4.65,6.35,421.9
1007.91,12.73,285.24,7.35,69.71,14.74,10.27,4.46,6.36,422.1
1007.92,12.42,284.93,7.61,72.4,14.44,10.45,3.98,6.48,429.2
1007.93,12.03,284.54,7.55,74.0,14.07,10.41,3.66,6.45,432.9
1008.0,11.85,284.35,7.32,73.7,13.91,10.25,3.66,6.35,427.7
1008.02,11.88,284.38,7.07,72.3,13.93,10.07,3.86,6.24,426.5
1007.97,11.83,284.33,7.14,72.9,13.89,10.12,3.76,6.27,429.7
1007.91,11.91,284.42,7.08,72.2,13.96,10.08,3.88,6.24,425.9
1007.93,11.94,284.45,7.18,72.6,13.99,10.16,3.83,6.29,428.7
1008.0,11.9,284.4,7.19,72.8,13.95,10.16,3.79,6.29,428.5
1007.99,11.74,284.24,7.25,73.9,13.8,10.2,3.6,6.32,433.6
1007.92,11.63,284.14,7.32,74.8,13.7,10.25,3.45,6.35,438.1
1007.91,11.48,283.99,7.35,75.7,13.57,10.27,3.3,6.36,443.2
1007.88,11.44,283.95,7.45,76.4,13.53,10.34,3.19,6.41,445.3
1007.85,11.41,283.92,7.49,76.8,13.51,10.37,3.13,6.43,445.5
1007.85,11.45,283.96,7.61,77.2,13.54,10.45,3.09,6.48,448.7
1007.81,11.35,283.87,7.61,77.7,13.45,10.45,3.0,6.48,449.4
1007.78,11.36,283.88,7.56,77.4,13.46,10.42,3.04,6.46,447.7
1007.71,11.33,283.86,7.72,78.4,13.43,10.53,2.9,6.53,453.3
1007.71,11.04,283.57,7.66,79.6,13.18,10.49,2.69,6.5,455.9
1007.69,11.0,283.53,7.67,79.9,13.14,10.5,2.64,6.51,457.8
1007.65,11.06,283.59,7.73,79.9,13.2,10.54,2.65,6.53,460.4
1007.66,10.96,283.49,7.73,80.4,13.11,10.54,2.57,6.53,459.0
1007.64,10.79,283.32,7.61,80.7,12.96,10.46,2.5,6.48,456.0
1007.57,10.52,283.06,7.57,81.9,12.73,10.43,2.3,6.46,457.2
1007.54,10.36,282.9,7.57,82.8,12.59,10.43,2.17,6.46,459.7
1007.53,10.23,282.77,7.6,83.7,12.48,10.45,2.04,6.48,462.0
1007.47,10.14,282.69,7.57,84.0,12.41,10.42,1.99,6.46,462.4
1007.42,10.0,282.55,7.52,84.5,12.29,10.39,1.91,6.44,461.8
1007.37,9.87,282.43,7.47,85.0,12.19,10.36,1.83,6.42,458.9
1007.31,9.71,282.27,7.44,85.7,12.06,10.33,1.72,6.41,456.2
1007.39,9.7,282.26,7.34,85.2,12.05,10.27,1.78,6.36,457.0
1007.36,9.54,282.1,7.29,85.8,11.92,10.23,1.69,6.34,459.5
1007.32,9.18,281.74,7.12,86.9,11.63,10.11,1.52,6.27,454.5
1007.27,8.93,281.5,7.02,87.8,11.44,10.04,1.4,6.23,454.8
1007.24,8.93,281.5,7.07,88.1,11.44,10.08,1.36,6.25,462.7
1007.27,8.93,281.5,7.09,88.2,11.44,10.09,1.35,6.25,463.0
1007.34,8.84,281.4,7.03,88.4,11.37,10.05,1.32,6.23,463.9
1007.39,8.58,281.14,6.84,88.8,11.17,9.92,1.25,6.15,458.3
1007.45,8.62,281.17,6.91,89.0,11.2,9.97,1.23,6.18,458.9
1007.47,8.94,281.49,7.05,87.9,11.45,10.06,1.39,6.24,462.1
1007.5,9.29,281.84,7.08,86.0,11.72,10.08,1.64,6.25,456.1
1007.54,9.81,282.35,7.1,83.2,12.14,10.1,2.04,6.26,455.0
1007.55,9.6,282.14,6.86,83.0,11.97,9.93,2.03,6.16,451.6
1007.64,9.49,282.03,6.93,84.0,11.88,9.98,1.9,6.18,462.7
1007.63,10.08,282.62,7.12,81.8,12.36,10.11,2.25,6.26,480.0
1007.62,10.52,283.05,7.28,80.3,12.73,10.22,2.51,6.33,481.4
1007.67,11.19,283.72,7.47,77.8,13.31,10.36,2.95,6.42,480.2
1007.67,11.46,283.99,7.48,76.5,13.55,10.37,3.18,6.42,479.3
1007.65,11.55,284.08,7.48,76.0,13.63,10.36,3.27,6.42,478.0
1007.66,11.84,284.37,7.54,74.9,13.9,10.41,3.49,6.45,476.2
1007.58,12.06,284.59,7.64,74.3,14.1,10.48,3.62,6.49,476.0
1007.55,12.18,284.72,7.73,74.2,14.21,10.55,3.67,6.54,474.8
1007.54,12.1,284.64,7.7,74.4,14.14,10.52,3.62,6.52,467.3
1007.5,12.33,284.87,7.78,73.7,14.35,10.58,3.77,6.56,461.2
1007.44,12.83,285.37,7.94,72.1,14.83,10.69,4.14,6.63,457.7
1007.44,13.64,286.18,8.17,69.48,15.64,10.87,4.77,6.74,453.4
1007.4,14.27,286.81,8.37,67.61,16.29,11.01,5.28,6.83,450.0
1007.37,14.59,287.14,8.63,67.39,16.63,11.21,5.42,6.95,448.1
1007.28,15.28,287.83,8.9,65.67,17.39,11.42,5.97,7.08,446.5
1007.22,15.7,288.26,9.1,64.78,17.86,11.57,6.29,7.18,443.1
1007.2,15.98,288.54,9.18,63.98,18.19,11.64,6.55,7.22,439.2
1007.16,16.55,289.11,9.15,61.54,18.86,11.61,7.25,7.2,432.7
1007.07,16.52,289.09,9.04,61.2,18.82,11.52,7.3,7.15,425.7
1007.05,17.36,289.93,9.27,58.96,19.85,11.71,8.15,7.26,423.1
1007.05,17.57,290.14,9.14,57.65,20.12,11.6,8.52,7.2,419.3
1007.02,17.82,290.39,9.19,56.94,20.44,11.64,8.8,7.22,416.1
1007.0,18.39,290.96,9.11,54.66,21.18,11.58,9.61,7.18,413.9
1006.98,18.16,290.73,8.67,53.82,20.88,11.24,9.64,6.97,408.6
1006.98,18.11,290.68,8.03,51.71,20.82,10.76,10.05,6.68,404.9
1006.91,18.28,290.86,8.3,52.08,21.04,10.96,10.08,6.8,405.0
1006.78,17.89,290.48,8.32,53.46,20.53,10.98,9.55,6.81,404.7
1006.74,18.03,290.62,8.14,52.33,20.71,10.84,9.87,6.72,404.8
1006.65,18.53,291.13,8.3,51.29,21.37,10.96,10.41,6.8,404.6
1006.58,18.74,291.34,8.27,50.5,21.65,10.94,10.72,6.79,405.0
1006.53,18.42,291.03,8.35,51.81,21.22,11.0,10.23,6.82,404.4
1006.5,18.4,291.01,8.13,51.1,21.2,10.83,10.37,6.72,404.0
